Date,Workout Days,PRs
2018-08-07,1,0
2018-08-19,1,0
2018-08-21,1,0
2018-08-25,1,0
2018-09-02,1,0
2018-09-06,1,0
2018-09-09,1,0
2018-09-20,1,0
2018-09-23,1,0
2018-10-02,1,0
2018-10-09,1,0
2018-10-20,1,0
2018-10-28,1,0
2018-11-01,1,0
2018-11-04,1,0
2018-11-08,1,0
2018-11-12,1,0
2018-11-16,1,0
2019-04-29,1,0
2019-05-01,1,0
2019-05-03,1,0
2019-05-05,1,0
2019-05-08,1,0
2019-05-15,1,0
2019-05-19,1,0
2019-05-21,1,0
2019-05-26,1,0
2019-05-29,1,0
2019-06-01,1,0
2019-06-03,1,0
2019-06-07,1,0
2019-06-11,1,0
2019-06-15,1,0
2019-06-17,1,0
2019-06-24,1,0
2019-06-28,1,0
2019-07-01,1,0
2019-07-05,1,0
2019-07-08,1,0
2019-07-12,1,0
2019-07-14,1,0
2019-07-23,1,0
2019-07-26,1,0
2019-07-29,1,0
2019-08-01,1,0
2019-08-18,1,0
2019-09-01,1,0
2019-09-05,1,0
2019-09-09,1,0
2019-09-16,1,0
2019-10-05,1,0
2019-10-22,1,0
2019-11-04,1,0
2019-11-18,1,0
2020-01-11,1,0
2020-01-21,1,0
2020-02-04,1,0
2020-02-24,1,0
2020-05-18,1,0
2020-05-25,1,0
2020-06-02,1,0
2020-06-25,1,0
2020-06-28,1,0
2020-08-18,1,0
2020-08-31,1,0
2020-09-07,1,0
2020-09-17,1,0
2020-09-30,1,0
2020-10-11,1,0
2020-10-29,1,0
2021-06-13,1,0
2021-06-17,1,0
2021-07-02,1,0
2021-08-10,1,0
2021-08-11,1,0
2021-08-13,1,0
2021-08-16,1,0
2021-08-18,1,0
2021-08-25,1,0
2021-08-31,1,0
2021-09-07,1,0
2021-09-12,1,0
2021-09-15,1,0
2021-09-17,1,0
2021-09-24,1,0
2021-09-29,1,0
2021-10-03,1,0
2021-10-05,1,0
2021-10-07,1,0
2021-10-23,1,0
2021-10-26,1,0
2022-01-07,1,0
2022-01-10,1,0
2022-01-24,1,0
2022-01-28,1,0
2022-01-31,1,0
2022-02-01,1,0
2022-02-07,1,0
2022-02-09,1,0
2022-02-10,1,0
2022-07-24,1,0
2022-07-30,1,0
2022-08-02,1,0
2022-08-07,1,0
2022-08-14,1,0
2022-08-21,1,0
2022-08-25,1,0
2022-08-30,1,0
2022-09-03,1,0
2022-09-06,1,0
2022-09-25,1,0
2022-10-03,1,0
2022-10-16,1,0
2022-10-18,1,0
2022-10-23,1,0
2022-10-30,1,0
2022-11-06,1,0
2022-11-19,1,0
2022-12-04,1,0
2022-12-11,1,0
2023-02-04,1,0
2023-02-12,1,0
2023-02-19,1,0
2023-02-26,1,0
2023-03-05,1,0
2023-03-11,1,0
2023-03-19,1,0
2023-03-22,1,0
2023-04-01,1,0
2023-04-16,1,0
2023-04-23,1,0
2023-04-30,1,0
2023-05-07,1,0
2023-05-14,1,0
2023-05-21,1,0
2023-06-04,1,0
2023-06-10,1,0
2023-07-02,1,0
2023-07-22,1,0
2023-08-13,1,0
2023-08-20,1,0
2023-08-27,1,0
2023-09-10,1,0
2023-09-23,1,0
2023-10-22,1,0
2023-10-29,1,0
2023-11-05,1,0
2023-12-10,1,0
2024-02-03,1,0
2024-03-07,1,0
2024-07-10,1,0
2024-09-19,1,0
2024-10-14,1,0
2024-11-15,1,0
2024-12-03,1,0
2025-03-11,1,0
2025-03-30,1,0
2025-04-13,1,0
2025-05-15,1,0
2025-05-30,1,0
2025-06-14,1,0
2025-06-18,1,0
2025-06-22,1,0
2025-06-28,1,0
2025-07-05,1,0
2025-07-10,1,0
2025-07-15,1,0
2025-07-24,1,0
2025-07-28,1,0
2025-07-31,1,0
2025-08-06,1,1
2025-08-10,1,0
2025-08-15,1,0
2025-08-23,1,0
2025-08-27,1,1
2025-08-31,1,0
2025-09-06,1,1
2025-09-11,1,0
2025-09-17,1,0
2025-09-22,1,0
2025-09-28,1,0
2025-10-04,1,0
2025-10-10,1,0
2025-10-16,1,0
2025-10-25,1,0
2025-11-02,1,0
2025-11-08,1,0
2025-11-16,1,0
2025-11-23,1,0
2025-11-29,1,0
2025-12-07,1,0
2025-12-14,1,0
2026-01-04,1,0
2026-01-10,1,0
2026-01-20,1,0
2026-01-24,1,0
2026-01-31,1,0
2026-02-08,1,0
2026-02-26,1,0
2026-03-05,1,0
2026-03-21,1,0
2026-03-31,1,0
2026-04-04,1,0
2026-04-08,1,0
2026-04-12,1,0
2026-04-18,1,0
2026-04-23,1,0
2026-04-30,1,0
2026-05-05,1,0
2026-05-11,1,0
2026-05-17,1,0
2026-05-23,1,0
2026-05-30,1,0
2026-06-05,1,3
2026-06-12,1,0
2026-06-16,1,0
2026-06-23,1,0
2026-06-29,1,0
2026-07-05,1,0
2026-07-10,1,0
2026-07-16,1,0
2026-07-23,1,0
2026-07-28,1,0
2026-08-01,1,0
2026-08-07,1,0
2026-08-10,1,0
2026-08-14,1,0
2026-08-19,1,0
2026-08-25,1,0
2026-08-31,1,0
